#,Model Name,Color Varient,Color,RAM,Storage,avg rating,Reviews,Price
19,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)",Ocean Blue,Blue,6GB,128GB,4.2,119885,16499
20,"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",Sunrise Flare,Purple,4GB,64GB,4.2,9477,9999
21,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",Blue Marble,Blue,8GB,128GB,4.2,27648,27999
22,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Fantasy White,White,6GB,128GB,4.1,407,11990
23,"Redmi Note 9 (Aqua Green, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display",Aqua Green,Green,4GB,64GB,4.2,21476,11999
24,"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI | Extra Upto INR 1000 Off on Exchange",Interstellar Black,Black,6GB,128GB,4.1,23563,18499
25,"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)",Electric Blue,Blue,6GB,128GB,4.4,23392,22999
26,"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",Raven Black,Black,4GB,64GB,4.2,80171,13999
27,"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)- 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI | Extra Upto INR 1000 Off on Exchange",Aurora Blue,Blue,6GB,64GB,4.1,23563,16999
28,"Samsung Galaxy M31 Prime Edition (Iceberg Blue, 6GB RAM, 128GB Storage)",Iceberg Blue,Blue,6GB,128GB,4.2,119885,16499
29,"Redmi 9 (Sky Blue, 4GB RAM, 128GB Storage) - 3 Months No Cost EMI on BFL",Sky Blue,Blue,4GB,128GB,4,7340,9999
30,"Redmi 9 Prime (Mint Green, 4GB RAM, 128GB Storage) - Full HD+ Display & AI Quad Camera",Mint Green,Green,4GB,128GB,4.2,9477,10999
31,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",Electric Blue,Blue,8GB,128GB,4.4,23392,24999
32,"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Black,Black,2GB,32GB,3.4,6565,5999
33,"Samsung Galaxy M31s (Mirage Blue, 8GB RAM, 128GB Storage)",Mirage Blue,Blue,8GB,128GB,4.3,36403,20499
